,0,1
0,"{2, 14}",0.007320793085917641
1,"{104, 2}",0.00813421453990849
2,"{2, 124}",0.006405693950177936
3,"{2, 140}",0.007625826131164209
4,"{168, 2}",0.007422470767666497
5,"{8, 104}",0.007320793085917641
6,"{8, 167}",0.009252669039145907
7,"{10, 14}",0.0062023385866802234
8,"{17, 10}",0.005795627859684799
9,"{32, 10}",0.008439247585155059
10,"{10, 51}",0.005998983223182512
11,"{10, 66}",0.005083884087442806
12,"{10, 90}",0.0062023385866802234
13,"{97, 10}",0.006405693950177936
14,"{104, 10}",0.019725470259278087
15,"{10, 107}",0.00630401626842908
16,"{113, 10}",0.007625826131164209
17,"{10, 124}",0.01362480935434672
18,"{10, 125}",0.017386883579054397
19,"{10, 132}",0.005592272496187087
20,"{10, 140}",0.00813421453990849
21,"{10, 159}",0.007625826131164209
22,"{10, 163}",0.006710726995424504
23,"{10, 167}",0.02125063548551093
24,"{168, 10}",0.011692933401118455
25,"{32, 11}",0.005388917132689374
26,"{104, 11}",0.010269445856634469
27,"{11, 124}",0.0066090493136756485
28,"{11, 125}",0.0066090493136756485
29,"{11, 140}",0.007320793085917641
30,"{11, 159}",0.006710726995424504
31,"{11, 163}",0.009049313675648195
32,"{11, 167}",0.01179461108286731
33,"{168, 11}",0.010574478901881037
34,"{104, 12}",0.005185561769191663
35,"{124, 12}",0.005388917132689374
36,"{12, 167}",0.00681240467717336
37,"{168, 12}",0.005490594814438231
38,"{13, 14}",0.0157600406710727
39,"{16, 13}",0.005185561769191663
40,"{17, 13}",0.005795627859684799
41,"{32, 13}",0.006100660904931368
42,"{58, 13}",0.005388917132689374
43,"{66, 13}",0.007015760040671073
44,"{90, 13}",0.006100660904931368
45,"{96, 13}",0.005185561769191663
46,"{104, 13}",0.016166751398068124
47,"{13, 111}",0.005897305541433655
48,"{113, 13}",0.005185561769191663
49,"{124, 13}",0.01362480935434672
50,"{125, 13}",0.009659379766141332
51,"{132, 13}",0.007829181494661922
52,"{13, 135}",0.005592272496187087
53,"{140, 13}",0.016980172852058974
54,"{13, 159}",0.008235892221657347
55,"{13, 167}",0.02043721403152008
56,"{168, 13}",0.009252669039145907
57,"{16, 14}",0.008235892221657347
58,"{17, 14}",0.008947635993899338
59,"{14, 22}",0.008032536858159633
60,"{29, 14}",0.0052872394509405184
61,"{14, 30}",0.005795627859684799
62,"{32, 14}",0.013523131672597865
63,"{36, 14}",0.007320793085917641
64,"{41, 14}",0.005897305541433655
65,"{42, 14}",0.006100660904931368
66,"{46, 14}",0.005185561769191663
67,"{51, 14}",0.009150991357397052
68,"{58, 14}",0.007320793085917641
69,"{65, 14}",0.0062023385866802234
70,"{66, 14}",0.014234875444839857
71,"{75, 14}",0.0056939501779359435
72,"{90, 14}",0.010269445856634469
73,"{94, 14}",0.0052872394509405184
74,"{96, 14}",0.00864260294865277
75,"{97, 14}",0.01128622267412303
76,"{101, 14}",0.005897305541433655
77,"{104, 14}",0.024809354346720894
78,"{107, 14}",0.008947635993899338
79,"{14, 111}",0.010574478901881037
80,"{113, 14}",0.007422470767666497
81,"{124, 14}",0.024199288256227757
82,"{125, 14}",0.015658362989323844
83,"{132, 14}",0.011997966446365024
84,"{14, 135}",0.010981189628876462
85,"{140, 14}",0.028978139298423997
86,"{14, 159}",0.018505338078291814
87,"{163, 14}",0.008744280630401627
88,"{14, 167}",0.03436705643111337
89,"{168, 14}",0.022979156075241484
90,"{16, 17}",0.005795627859684799
91,"{16, 32}",0.008337569903406202
92,"{16, 51}",0.00681240467717336
93,"{16, 58}",0.0071174377224199285
94,"{16, 66}",0.008337569903406202
95,"{16, 90}",0.006507371631926792
96,"{16, 97}",0.007625826131164209
97,"{16, 104}",0.018708693441789527
98,"{16, 107}",0.009659379766141332
99,"{16, 111}",0.007625826131164209
100,"{16, 113}",0.005592272496187087
101,"{16, 124}",0.01260803253685816
102,"{16, 125}",0.010167768174885612
103,"{16, 132}",0.010676156583629894
104,"{16, 135}",0.009252669039145907
105,"{16, 140}",0.01260803253685816
106,"{16, 159}",0.010676156583629894
107,"{16, 167}",0.02521606507371632
108,"{16, 168}",0.014539908490086425
109,"{17, 29}",0.005795627859684799
110,"{17, 30}",0.0062023385866802234
111,"{32, 17}",0.009150991357397052
112,"{17, 42}",0.00681240467717336
113,"{17, 51}",0.009659379766141332
114,"{65, 17}",0.005795627859684799
115,"{17, 66}",0.008032536858159633
116,"{17, 90}",0.006710726995424504
117,"{17, 97}",0.005795627859684799
118,"{104, 17}",0.020030503304524657
119,"{17, 107}",0.007625826131164209
120,"{17, 111}",0.007320793085917641
121,"{17, 113}",0.005490594814438231
122,"{17, 124}",0.013421453990849009
123,"{17, 125}",0.012913065582104729
124,"{17, 132}",0.00864260294865277
125,"{17, 140}",0.008845958312150484
126,"{17, 159}",0.0099644128113879
127,"{17, 163}",0.010167768174885612
128,"{17, 167}",0.02755465175394001
129,"{168, 17}",0.014641586171835282
130,"{104, 18}",0.010371123538383325
131,"{18, 111}",0.005083884087442806
132,"{18, 124}",0.007625826131164209
133,"{18, 125}",0.005083884087442806
134,"{18, 159}",0.005490594814438231
135,"{18, 167}",0.011591255719369599
136,"{168, 18}",0.008540925266903915
137,"{19, 167}",0.005592272496187087
138,"{104, 21}",0.006914082358922217
139,"{124, 21}",0.0071174377224199285
140,"{140, 21}",0.00864260294865277
141,"{21, 159}",0.005388917132689374
142,"{21, 167}",0.008235892221657347
143,"{168, 21}",0.005490594814438231
144,"{104, 22}",0.009049313675648195
145,"{124, 22}",0.01128622267412303
146,"{132, 22}",0.00630401626842908
147,"{22, 135}",0.011387900355871887
148,"{140, 22}",0.013828164717844434
149,"{22, 167}",0.008845958312150484
150,"{168, 22}",0.005388917132689374
151,"{104, 23}",0.005083884087442806
152,"{104, 26}",0.006507371631926792
153,"{26, 167}",0.008845958312150484
154,"{168, 26}",0.0062023385866802234
155,"{140, 28}",0.005388917132689374
156,"{28, 167}",0.005083884087442806
157,"{32, 29}",0.006914082358922217
158,"{51, 29}",0.0062023385866802234
159,"{65, 29}",0.006710726995424504
160,"{97, 29}",0.005185561769191663
161,"{104, 29}",0.017895271987798677
162,"{113, 29}",0.005795627859684799
163,"{124, 29}",0.009659379766141332
164,"{125, 29}",0.010879511947127605
165,"{132, 29}",0.0052872394509405184
166,"{140, 29}",0.008337569903406202
167,"{29, 159}",0.006405693950177936
168,"{163, 29}",0.007219115404168785
169,"{29, 167}",0.01759023894255211
170,"{168, 29}",0.008337569903406202
171,"{32, 30}",0.006405693950177936
172,"{66, 30}",0.00681240467717336
173,"{30, 87}",0.0052872394509405184
174,"{97, 30}",0.005490594814438231
175,"{104, 30}",0.012709710218607015
176,"{107, 30}",0.008032536858159633
177,"{30, 111}",0.006100660904931368
178,"{124, 30}",0.01179461108286731
179,"{125, 30}",0.006405693950177936
180,"{132, 30}",0.0066090493136756485
181,"{30, 135}",0.00813421453990849
182,"{140, 30}",0.013523131672597865
183,"{30, 159}",0.00813421453990849
184,"{162, 30}",0.005795627859684799
185,"{30, 167}",0.016675139806812404
186,"{168, 30}",0.009252669039145907
187,"{32, 36}",0.006405693950177936
188,"{32, 41}",0.0056939501779359435
189,"{32, 42}",0.0071174377224199285
190,"{32, 51}",0.010371123538383325
191,"{32, 58}",0.006507371631926792
192,"{32, 65}",0.0066090493136756485
193,"{32, 66}",0.010371123538383325
194,"{32, 75}",0.0052872394509405184
195,"{32, 90}",0.007930859176410779
196,"{32, 96}",0.007625826131164209
197,"{32, 97}",0.008337569903406202
198,"{32, 101}",0.005592272496187087
199,"{32, 104}",0.02887646161667514
200,"{32, 107}",0.009761057447890189
201,"{32, 111}",0.013828164717844434
202,"{32, 113}",0.006507371631926792
203,"{32, 124}",0.01677681748856126
204,"{32, 125}",0.017691916624300967
205,"{32, 132}",0.01128622267412303
206,"{32, 135}",0.009761057447890189
207,"{32, 140}",0.012811387900355872
208,"{32, 159}",0.0199288256227758
209,"{32, 163}",0.010879511947127605
210,"{32, 167}",0.030503304524656837
211,"{32, 168}",0.021657346212506354
212,"{58, 36}",0.005083884087442806
213,"{66, 36}",0.005998983223182512
214,"{104, 36}",0.013421453990849009
215,"{107, 36}",0.006914082358922217
216,"{36, 111}",0.006914082358922217
217,"{124, 36}",0.010981189628876462
218,"{36, 125}",0.007320793085917641
219,"{132, 36}",0.006914082358922217
220,"{36, 135}",0.009354346720894764
221,"{140, 36}",0.0099644128113879
222,"{36, 159}",0.0071174377224199285
223,"{163, 36}",0.006100660904931368
224,"{36, 167}",0.018708693441789527
225,"{168, 36}",0.009761057447890189
226,"{41, 42}",0.005083884087442806
227,"{41, 51}",0.005083884087442806
228,"{41, 66}",0.0056939501779359435
229,"{104, 41}",0.013726487036095577
230,"{41, 111}",0.006100660904931368
231,"{41, 124}",0.0099644128113879
232,"{41, 125}",0.0075241484494153535
233,"{41, 132}",0.005592272496187087
234,"{41, 135}",0.005592272496187087
235,"{41, 140}",0.00681240467717336
236,"{41, 159}",0.007219115404168785
237,"{41, 163}",0.006405693950177936
238,"{41, 167}",0.016471784443314694
239,"{168, 41}",0.012404677173360447
240,"{42, 46}",0.005185561769191663
241,"{42, 51}",0.006507371631926792
242,"{42, 90}",0.00630401626842908
243,"{97, 42}",0.0056939501779359435
244,"{104, 42}",0.017183528215556684
245,"{42, 107}",0.0075241484494153535
246,"{42, 111}",0.007829181494661922
247,"{42, 124}",0.010066090493136757
248,"{42, 125}",0.010879511947127605
249,"{42, 132}",0.007625826131164209
250,"{42, 135}",0.005388917132689374
251,"{42, 140}",0.00813421453990849
252,"{42, 159}",0.010269445856634469
253,"{42, 163}",0.01047280122013218
254,"{42, 167}",0.026131164209456024
255,"{168, 42}",0.01728520589730554
256,"{66, 46}",0.005998983223182512
257,"{104, 46}",0.011591255719369599
258,"{107, 46}",0.005388917132689374
259,"{124, 46}",0.00681240467717336
260,"{125, 46}",0.005795627859684799
261,"{132, 46}",0.005897305541433655
262,"{46, 135}",0.0062023385866802234
